   T(K)   S(J/mol.K)     Cp(J/mol.K)     ddH(kJ/mol)     dHf(kJ/mol)     dGf(kJ/mol)         log Kf
   0.00        0.000           0.000           0.000        -546.572        -546.572       Infinity
 100.00      250.646          46.850           3.832        -548.062        -545.734        285.059
 200.00      288.225          63.507           9.349        -550.516        -542.458        141.674
 298.15      316.350          77.572          16.309        -552.366        -538.078         94.268
 300.00      316.831          77.792          16.453        -552.393        -537.989         93.671
 400.00      340.623          87.345          24.746        -553.572        -532.995         69.601
 500.00      360.811          93.364          33.804        -554.369        -527.754         55.133
 600.00      378.200          97.228          43.348        -555.035        -522.367         45.476
 700.00      393.393          99.801          53.207        -555.754        -516.869         38.569
 800.00      406.843         101.582          63.282        -556.643        -511.253         33.381
 900.00      418.885         102.856          73.507        -557.809        -505.513         29.339
1000.00      429.773         103.796          83.842        -580.499        -498.105         26.018
1100.00      439.701         104.507          94.258        -581.697        -489.809         23.259
1200.00      448.819         105.057         104.738        -582.890        -481.402         20.955
1300.00      457.246         105.490         115.266        -584.087        -472.897         19.001
1400.00      465.076         105.838         125.833        -585.289        -464.296         17.323
1500.00      472.388         106.121         136.431        -586.504        -455.614         15.866
1600.00      479.245         106.354         147.055        -587.731        -446.848         14.588
1700.00      485.699         106.548         157.701        -588.973        -438.008         13.458
1800.00      491.793         106.711         168.364        -590.234        -429.089         12.452
1900.00      497.567         106.850         179.042        -591.516        -420.102         11.549
2000.00      503.051         106.969         189.733        -592.818        -411.044         10.735
2100.00      508.272         107.072         200.436        -594.144        -401.922          9.997
2200.00      513.255         107.161         211.147        -595.495        -392.739          9.325
2300.00      518.021         107.239         221.867        -596.872        -383.495          8.709
2400.00      522.586         107.308         232.595        -598.273        -374.215          8.144
2500.00      526.968         107.368         243.329        -599.702        -364.834          7.623
2600.00      531.180         107.422         254.068        -601.157        -355.435          7.141
2700.00      535.235         107.470         264.813        -602.637        -345.947          6.693
2800.00      539.144         107.513         275.562       -1191.947        -334.449          6.239
2900.00      542.918         107.552         286.315       -1191.290        -303.835          5.473
3000.00      546.565         107.587         297.072       -1190.656        -273.274          4.758
3100.00      550.093         107.619         307.833       -1190.049        -242.717          4.090
3200.00      553.510         107.647         318.596       -1189.469        -212.173          3.463
3300.00      556.823         107.673         329.362       -1188.910        -181.639          2.875
3400.00      560.038         107.697         340.131       -1188.375        -151.067          2.321
3500.00      563.160         107.719         350.902       -1187.862        -120.588          1.800
3600.00      566.195         107.739         361.674       -1187.376         -90.082          1.307
3700.00      569.147         107.758         372.449       -1186.910         -59.613          0.842
3800.00      572.021         107.775         383.226       -1186.465         -29.194          0.401
3900.00      574.821         107.791         394.004       -1186.044           1.238         -0.017
4000.00      577.550         107.805         404.784       -1185.646          31.686         -0.414
4100.00      580.212         107.819         415.565       -1185.273          62.140         -0.792
4200.00      582.810         107.832         426.348       -1184.921          92.523         -1.151
4300.00      585.348         107.843         437.132       -1184.593         122.988         -1.494
4400.00      587.827         107.854         447.917       -1184.291         153.364         -1.821
4500.00      590.251         107.865         458.702       -1184.013         183.731         -2.133
4600.00      592.622         107.874         469.489       -1183.764         214.180         -2.432
4700.00      594.942         107.883         480.277       -1183.545         244.517         -2.717
4800.00      597.213         107.892         491.066       -1183.357         274.924         -2.992
4900.00      599.438         107.900         501.856       -1183.199         305.311         -3.255
5000.00      601.618         107.907         512.646       -1183.080         335.665         -3.507
5100.00      603.755         107.914         523.437       -1182.996         366.090         -3.749
5200.00      605.851         107.921         534.229       -1182.954         396.465         -3.982
5300.00      607.906         107.927         545.021       -1182.957         426.809         -4.206
5400.00      609.924         107.933         555.814       -1183.006         457.200         -4.422
5500.00      611.904         107.938         566.608       -1183.103         487.546         -4.630
5600.00      613.849         107.944         577.402       -1183.254         517.953         -4.831
5700.00      615.760         107.949         588.196       -1183.463         548.285         -5.024
5800.00      617.637         107.953         598.991       -1183.728         578.677         -5.211
5900.00      619.483         107.958         609.787       -1184.059         609.107         -5.393
6000.00      621.297         107.962         620.583       -1184.417         639.514         -5.567
