 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000        -844.445        -844.445           Inf
 100.00      253.237          57.341           4.464        -846.755        -836.020       436.687
 200.00      299.654          78.709          11.284        -849.361        -824.240       215.267
 298.15      334.450          95.784          19.893        -850.996        -811.522       142.174
 300.00      335.043          96.051          20.071        -851.016        -811.276       141.254
 400.00      364.384         107.616          30.297        -851.748        -797.900       104.194
 500.00      389.246         114.940          41.453        -851.976        -784.405        81.945
 600.00      410.649         119.661          53.199        -852.020        -770.886        67.111
 700.00      429.348         122.816          65.333        -852.092        -757.362        56.514
 800.00      445.899         125.003          77.730        -852.327        -743.812        48.565
 900.00      460.717         126.571          90.313        -852.838        -730.221        42.380
1000.00      474.116         127.728         103.031        -874.876        -715.036        37.349
1100.00      486.332         128.605         115.850        -875.425        -699.024        33.193
1200.00      497.553         129.284         128.745        -875.978        -682.964        29.728
1300.00      507.923         129.819         141.702        -876.537        -666.856        26.794
1400.00      517.560         130.248         154.706        -877.109        -650.703        24.278
1500.00      526.558         130.598         167.749        -877.700        -634.514        22.095
1600.00      534.996         130.886         180.823        -878.310        -618.281        20.185
1700.00      542.939         131.126         193.924        -878.943        -602.014        18.497
1800.00      550.440         131.328         207.047        -879.602        -585.705        16.997
1900.00      557.545         131.500         220.189        -880.290        -569.357        15.653
2000.00      564.294         131.647         233.346        -881.007        -552.971        14.442
2100.00      570.720         131.774         246.517        -881.758        -536.551        13.346
2200.00      576.853         131.884         259.700        -882.541        -520.097        12.349
2300.00      582.717         131.981         272.894        -883.359        -503.603        11.437
2400.00      588.336         132.066         286.096        -884.213        -487.104        10.601
2500.00      593.729         132.141         299.307        -885.102        -470.524         9.831
2600.00      598.913         132.207         312.524        -886.027        -453.946         9.120
2700.00      603.904         132.267         325.748        -886.987        -437.302         8.460
2800.00      608.715         132.320         338.977       -1475.786        -418.665         7.810
2900.00      613.359         132.368         352.212       -1474.625        -380.927         6.861
3000.00      617.847         132.411         365.451       -1473.498        -343.263         5.977
3100.00      622.190         132.450         378.694       -1472.407        -305.622         5.150
3200.00      626.395         132.486         391.940       -1471.351        -268.007         4.375
3300.00      630.473         132.518         405.191       -1470.322        -230.416         3.647
3400.00      634.429         132.548         418.444       -1469.327        -192.800         2.962
3500.00      638.272         132.575         431.700       -1468.361        -155.294         2.318
3600.00      642.007         132.600         444.959       -1467.428        -117.770         1.709
3700.00      645.640         132.623         458.220       -1466.523         -80.295         1.134
3800.00      649.177         132.644         471.483       -1465.646         -42.884         0.589
3900.00      652.623         132.663         484.749       -1464.798          -5.468         0.073
4000.00      655.982         132.682         498.016       -1463.981          31.947        -0.417
4100.00      659.259         132.698         511.285       -1463.194          69.358        -0.884
4200.00      662.456         132.714         524.556       -1462.435         106.694        -1.327
4300.00      665.579         132.728         537.828       -1461.705         144.100        -1.750
4400.00      668.631         132.742         551.101       -1461.008         181.402        -2.153
4500.00      671.614         132.755         564.376       -1460.339         218.692        -2.538
4600.00      674.532         132.767         577.652       -1459.707         256.057        -2.908
4700.00      677.388         132.778         590.929       -1459.110         293.295        -3.260
4800.00      680.183         132.788         604.208       -1458.549         330.599        -3.598
4900.00      682.921         132.798         617.487       -1458.026         367.876        -3.922
5000.00      685.604         132.807         630.767       -1457.548         405.112        -4.232
5100.00      688.234         132.816         644.048       -1457.111         442.415        -4.531
5200.00      690.813         132.824         657.330       -1456.723         479.659        -4.818
5300.00      693.343         132.832         670.613       -1456.386         516.863        -5.094
5400.00      695.826         132.839         683.897       -1456.104         554.111        -5.360
5500.00      698.264         132.846         697.181       -1455.878         591.299        -5.616
5600.00      700.658         132.853         710.466       -1455.713         628.551        -5.863
5700.00      703.009         132.859         723.752       -1455.615         665.726        -6.101
5800.00      705.320         132.865         737.038       -1455.583         702.945        -6.331
5900.00      707.591         132.870         750.325       -1455.626         740.207        -6.553
6000.00      709.824         132.876         763.612       -1455.707         777.433        -6.768
