 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000        -164.759        -164.759           Inf
 100.00      206.682          43.117           3.613        -163.564        -174.169        90.976
 200.00      238.308          48.398           8.205        -164.031        -184.687        48.235
 298.15      258.388          52.258          13.154        -165.024        -194.620        34.096
 300.00      258.711          52.320          13.251        -165.044        -194.803        33.918
 400.00      274.174          55.142          18.633        -166.164        -204.555        26.712
 500.00      286.700          57.067          24.249        -167.343        -214.019        22.358
 600.00      297.227          58.371          30.025        -168.617        -223.236        19.434
 700.00      306.297          59.272          35.910        -170.056        -232.230        17.329
 800.00      314.255          59.911          41.871        -171.723        -240.998        15.735
 900.00      321.340          60.376          47.886        -173.693        -249.543        14.483
1000.00      327.720          60.723          53.942        -197.200        -256.331        13.389
1100.00      333.521          60.989          60.028        -199.218        -262.147        12.448
1200.00      338.836          61.196          66.138        -201.233        -267.776        11.656
1300.00      343.741          61.359          72.266        -203.246        -273.241        10.979
1400.00      348.294          61.491          78.409        -205.260        -278.550        10.393
1500.00      352.540          61.599          84.564        -207.276        -283.716         9.880
1600.00      356.518          61.688          90.728        -209.295        -288.743         9.426
1700.00      360.261          61.763          96.901        -211.318        -293.651         9.023
1800.00      363.793          61.825         103.080        -213.349        -298.437         8.660
1900.00      367.137          61.879         109.266        -215.383        -303.106         8.333
2000.00      370.312          61.925         115.456        -217.424        -307.668         8.035
2100.00      373.334          61.964         121.650        -219.473        -312.130         7.764
2200.00      376.218          61.999         127.848        -221.529        -316.496         7.514
2300.00      378.974          62.029         134.050        -223.592        -320.766         7.285
2400.00      381.615          62.055         140.254        -225.665        -324.978         7.073
2500.00      384.149          62.079         146.461        -227.745        -329.055         6.875
2600.00      386.584          62.100         152.670        -229.834        -333.092         6.692
2700.00      388.928          62.118         158.881        -231.932        -337.014         6.520
2800.00      391.187          62.135         165.093        -821.841        -338.904         6.322
2900.00      393.368          62.150         171.308        -821.764        -321.656         5.794
3000.00      395.475          62.164         177.523        -821.696        -304.442         5.301
3100.00      397.514          62.176         183.740        -821.637        -287.215         4.839
3200.00      399.488          62.187         189.958        -821.588        -269.981         4.407
3300.00      401.401          62.197         196.178        -821.543        -252.740         4.000
3400.00      403.258          62.206         202.398        -821.509        -235.446         3.617
3500.00      405.062          62.215         208.619        -821.484        -218.236         3.257
3600.00      406.814          62.223         214.841        -821.468        -200.975         2.916
3700.00      408.519          62.230         221.063        -821.461        -183.747         2.594
3800.00      410.179          62.237         227.287        -821.461        -166.557         2.289
3900.00      411.796          62.243         233.511        -821.472        -149.340         2.000
4000.00      413.372          62.248         239.735        -821.494        -132.098         1.725
4100.00      414.909          62.254         245.960        -821.527        -114.835         1.463
4200.00      416.409          62.259         252.186        -821.572         -97.637         1.214
4300.00      417.874          62.263         258.412        -821.628         -80.345         0.976
4400.00      419.306          62.267         264.639        -821.698         -63.136         0.750
4500.00      420.705          62.271         270.866        -821.780         -45.922         0.533
4600.00      422.074          62.275         277.093        -821.881         -28.625         0.325
4700.00      423.413          62.279         283.321        -822.000         -11.428         0.127
4800.00      424.724          62.282         289.549        -822.137           5.846        -0.064
4900.00      426.008          62.285         295.777        -822.293          23.106        -0.246
5000.00      427.267          62.288         302.006        -822.475          40.335        -0.421
5100.00      428.500          62.291         308.235        -822.679          57.645        -0.590
5200.00      429.710          62.293         314.464        -822.912          74.912        -0.752
5300.00      430.896          62.296         320.693        -823.174          92.149        -0.908
5400.00      432.061          62.298         326.923        -823.468         109.442        -1.059
5500.00      433.204          62.300         333.153        -823.795         126.691        -1.203
5600.00      434.327          62.302         339.383        -824.158         143.998        -1.343
5700.00      435.429          62.304         345.613        -824.563         161.249        -1.478
5800.00      436.513          62.306         351.844        -825.004         178.553        -1.608
5900.00      437.578          62.308         358.074        -825.493         195.906        -1.734
6000.00      438.625          62.309         364.305        -825.988         213.233        -1.856
