 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000         564.501         564.501           -Inf
 100.00      188.071          31.215           2.958         566.493         549.083       -286.808
 200.00      211.003          34.813           6.288         566.219         531.676       -138.858
 298.15      225.183          36.099           9.778         565.201         514.923        -90.211
 300.00      225.407          36.114           9.844         565.177         514.610        -89.600
 400.00      235.879          36.651          13.486         563.803         497.955        -65.025
 500.00      244.089          36.916          17.166         562.217         481.673        -50.319
 600.00      250.834          37.064          20.865         560.446         465.727        -40.545
 700.00      256.555          37.156          24.577         558.462         450.094        -33.586
 800.00      261.521          37.216          28.296         556.221         434.764        -28.387
 900.00      265.906          37.257          32.019         553.662         419.733        -24.360
1000.00      269.834          37.287          35.747         529.558         406.524        -21.234
1100.00      273.388          37.309          39.476         526.937         394.347        -18.726
1200.00      276.635          37.326          43.208         524.319         382.410        -16.646
1300.00      279.624          37.339          46.941         521.702         370.688        -14.894
1400.00      282.391          37.349          50.676         519.087         359.172        -13.401
1500.00      284.968          37.358          54.411         516.472         347.839        -12.113
1600.00      287.380          37.365          58.147         513.858         336.683        -10.991
1700.00      289.645          37.370          61.884         511.245         325.688        -10.007
1800.00      291.781          37.375          65.621         508.630         314.847         -9.137
1900.00      293.802          37.379          69.359         506.018         304.154         -8.362
2000.00      295.719          37.383          73.097         503.406         293.600         -7.668
2100.00      297.543          37.386          76.836         500.795         283.174         -7.043
2200.00      299.283          37.388          80.574         498.183         272.870         -6.479
2300.00      300.945          37.391          84.313         495.572         262.685         -5.966
2400.00      302.536          37.393          88.053         492.962         252.587         -5.497
2500.00      304.063          37.394          91.792         490.351         242.643         -5.070
2600.00      305.529          37.396          95.531         487.740         232.760         -4.676
2700.00      306.941          37.397          99.271         485.130         223.011         -4.314
2800.00      308.301          37.399         103.011        -105.282         215.315         -4.017
2900.00      309.613          37.400         106.751        -105.702         226.774         -4.085
3000.00      310.881          37.401         110.491        -106.120         238.217         -4.148
3100.00      312.107          37.402         114.231        -106.540         249.690         -4.207
3200.00      313.295          37.402         117.971        -106.962         261.182         -4.263
3300.00      314.446          37.403         121.711        -107.382         272.692         -4.316
3400.00      315.562          37.404         125.452        -107.803         284.278         -4.367
3500.00      316.647          37.405         129.192        -108.227         295.788         -4.414
3600.00      317.700          37.405         132.933        -108.652         307.364         -4.460
3700.00      318.725          37.406         136.673        -109.080         318.917         -4.502
3800.00      319.723          37.406         140.414        -109.509         330.443         -4.542
3900.00      320.694          37.407         144.154        -109.943         342.012         -4.581
4000.00      321.641          37.407         147.895        -110.380         353.616         -4.618
4100.00      322.565          37.407         151.636        -110.823         365.248         -4.653
4200.00      323.467          37.408         155.377        -111.272         376.822         -4.686
4300.00      324.347          37.408         159.117        -111.728         388.504         -4.719
4400.00      325.207          37.408         162.858        -112.191         400.114         -4.750
4500.00      326.047          37.409         166.599        -112.660         411.738         -4.779
4600.00      326.870          37.409         170.340        -113.141         423.449         -4.808
4700.00      327.674          37.409         174.081        -113.636         435.070         -4.835
4800.00      328.462          37.410         177.822        -114.143         446.775         -4.862
4900.00      329.233          37.410         181.563        -114.662         458.476         -4.887
5000.00      329.989          37.410         185.304        -115.201         470.154         -4.912
5100.00      330.730          37.410         189.045        -115.756         481.913         -4.936
5200.00      331.456          37.410         192.786        -116.333         493.647         -4.959
5300.00      332.169          37.411         196.527        -116.932         505.346         -4.980
5400.00      332.868          37.411         200.268        -117.555         517.117         -5.002
5500.00      333.555          37.411         204.009        -118.204         528.843         -5.022
5600.00      334.229          37.411         207.750        -118.881         540.636         -5.043
5700.00      334.891          37.411         211.491        -119.590         552.377         -5.062
5800.00      335.541          37.411         215.232        -120.327         564.183         -5.081
5900.00      336.181          37.411         218.973        -121.102         576.036         -5.100
6000.00      336.810          37.412         222.715        -121.872         587.868         -5.118
