 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000         -68.456         -68.456           Inf
 100.00      193.309          29.605           2.918         -67.477         -76.659        40.042
 200.00      214.771          32.726           6.033         -67.683         -85.812        22.412
 298.15      228.257          34.733           9.354         -67.425         -94.673        16.586
 300.00      228.472          34.759           9.419         -68.211         -94.764        16.500
 400.00      238.627          35.773          12.951         -67.219        -103.760        13.550
 500.00      246.673          36.315          16.558         -67.104        -112.544        11.757
 600.00      253.325          36.632          20.206         -67.067        -121.192        10.551
 700.00      258.988          36.831          23.880         -67.129        -129.704         9.679
 800.00      263.915          36.963          27.570         -67.316        -138.077         9.015
 900.00      268.274          37.056          31.272         -68.571        -145.793         8.461
1000.00      272.182          37.122          34.981         -80.614        -152.642         7.973
1100.00      275.723          37.172          38.696         -81.924        -159.004         7.550
1200.00      278.959          37.210          42.415         -83.240        -165.266         7.194
1300.00      281.938          37.240          46.137         -84.562        -171.434         6.888
1400.00      284.699          37.264          49.863         -85.886        -177.509         6.623
1500.00      287.271          37.283          53.590         -87.215        -183.501         6.390
1600.00      289.678          37.299          57.319         -88.547        -189.408         6.183
1700.00      291.939          37.312          61.050         -89.882        -195.237         5.999
1800.00      294.072          37.323          64.782         -91.221        -200.993         5.833
1900.00      296.090          37.333          68.514         -92.564        -206.676         5.682
2000.00      298.006          37.341          72.248         -93.909        -212.292         5.544
2100.00      299.828          37.348          75.983         -95.258        -217.843         5.418
2200.00      301.565          37.354          79.718         -96.612        -223.329         5.302
2300.00      303.226          37.359          83.453         -97.970        -228.759         5.195
2400.00      304.816          37.363          87.189         -99.334        -234.143         5.096
2500.00      306.341          37.367          90.926        -100.702        -239.446         5.003
2600.00      307.807          37.371          94.663        -102.077        -244.720         4.916
2700.00      309.217          37.374          98.400        -103.460        -249.921         4.835
2800.00      310.577          37.377         102.138        -398.750        -254.096         4.740
2900.00      311.888          37.380         105.876        -399.053        -248.688         4.479
3000.00      313.155          37.382         109.614        -399.364        -243.284         4.236
3100.00      314.381          37.384         113.352        -399.685        -237.864         4.008
3200.00      315.568          37.386         117.090        -400.017        -232.429         3.794
3300.00      316.719          37.388         120.829        -400.357        -226.982         3.593
3400.00      317.835          37.389         124.568        -400.708        -221.492         3.403
3500.00      318.919          37.391         128.307        -401.069        -216.034         3.224
3600.00      319.972          37.392         132.046        -401.440        -210.539         3.055
3700.00      320.996          37.393         135.785        -401.820        -205.049         2.895
3800.00      321.994          37.394         139.525        -402.208        -199.571         2.743
3900.00      322.965          37.395         143.264        -402.605        -194.065         2.599
4000.00      323.912          37.396         147.004        -403.009        -188.537         2.462
4100.00      324.835          37.397         150.744        -403.421        -182.989         2.331
4200.00      325.736          37.398         154.483        -403.839        -177.464         2.207
4300.00      326.616          37.399         158.223        -404.262        -171.882         2.088
4400.00      327.476          37.400         161.963        -404.690        -166.333         1.975
4500.00      328.317          37.400         165.703        -405.119        -160.776         1.866
4600.00      329.139          37.401         169.443        -405.553        -155.169         1.762
4700.00      329.943          37.402         173.183        -405.991        -149.601         1.663
4800.00      330.731          37.402         176.923        -406.430        -143.990         1.567
4900.00      331.502          37.403         180.664        -406.868        -138.375         1.475
5000.00      332.257          37.403         184.404        -407.311        -132.766         1.387
5100.00      332.998          37.404         188.144        -407.754        -127.119         1.302
5200.00      333.724          37.404         191.885        -408.198        -121.481         1.220
5300.00      334.437          37.404         195.625        -408.645        -115.860         1.142
5400.00      335.136          37.405         199.366        -409.092        -110.199         1.066
5500.00      335.822          37.405         203.106        -409.541        -104.555         0.993
5600.00      336.496          37.406         206.847        -409.992         -98.882         0.922
5700.00      337.159          37.406         210.587        -410.447         -93.237         0.854
5800.00      337.809          37.406         214.328        -410.902         -87.552         0.788
5900.00      338.449          37.407         218.069        -411.362         -81.847         0.725
6000.00      339.077          37.407         221.809        -411.808         -76.147         0.663
