 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000          -8.894        -276.772        -276.772           Inf
 100.00      182.695          29.117          -5.984        -275.799        -284.851       148.789
 200.00      203.081          30.117          -3.037        -276.118        -293.840        76.742
 298.15      215.464          32.044           0.013        -276.817        -302.396        52.978
 300.00      215.662          32.079           0.072        -276.832        -302.555        52.679
 400.00      225.121          33.659           3.364        -277.657        -311.007        40.613
 500.00      232.754          34.717           6.787        -278.550        -319.242        33.351
 600.00      239.149          35.412          10.295        -279.514        -327.292        28.493
 700.00      244.646          35.881          13.862        -280.571        -335.173        25.011
 800.00      249.459          36.208          17.467        -281.750        -342.893        22.388
 900.00      253.738          36.443          21.100        -283.086        -350.458        20.340
1000.00      257.588          36.617          24.754        -295.193        -357.105        18.653
1100.00      261.084          36.749          28.422        -296.559        -363.230        17.248
1200.00      264.286          36.851          32.102        -297.927        -369.230        16.072
1300.00      267.239          36.931          35.792        -299.297        -375.116        15.072
1400.00      269.978          36.996          39.488        -300.671        -380.897        14.211
1500.00      272.533          37.048          43.190        -302.050        -386.581        13.462
1600.00      274.925          37.092          46.897        -303.432        -392.170        12.803
1700.00      277.175          37.128          50.608        -304.819        -397.675        12.219
1800.00      279.298          37.158          54.323        -306.210        -403.097        11.697
1900.00      281.308          37.184          58.040        -307.604        -408.441        11.229
2000.00      283.216          37.206          61.760        -308.999        -413.711        10.805
2100.00      285.031          37.226          65.481        -310.397        -418.912        10.420
2200.00      286.763          37.242          69.205        -311.792        -424.046        10.068
2300.00      288.419          37.257          72.929        -313.187        -429.119         9.745
2400.00      290.005          37.269          76.656        -314.577        -434.144         9.449
2500.00      291.527          37.281          80.383        -315.962        -439.090         9.174
2600.00      292.989          37.291          84.112        -317.340        -444.000         8.920
2700.00      294.397          37.300          87.841        -318.709        -448.842         8.683
2800.00      295.753          37.308          91.572        -613.968        -452.653         8.444
2900.00      297.063          37.315          95.303        -614.219        -446.889         8.049
3000.00      298.328          37.322          99.035        -614.457        -441.129         7.681
3100.00      299.552          37.327         102.767        -614.682        -435.355         7.336
3200.00      300.737          37.333         106.500        -614.893        -429.568         7.012
3300.00      301.886          37.338         110.234        -615.087        -423.773         6.708
3400.00      303.000          37.342         113.968        -615.266        -417.942         6.421
3500.00      304.083          37.346         117.702        -615.430        -412.150         6.151
3600.00      305.135          37.350         121.437        -615.577        -406.327         5.896
3700.00      306.159          37.353         125.172        -615.709        -400.519         5.654
3800.00      307.155          37.357         128.908        -615.823        -394.724         5.426
3900.00      308.125          37.360         132.644        -615.922        -388.909         5.209
4000.00      309.071          37.362         136.380        -616.006        -383.084         5.003
4100.00      309.994          37.365         140.116        -616.077        -377.248         4.806
4200.00      310.894          37.367         143.853        -616.132        -371.440         4.619
4300.00      311.773          37.369         147.589        -616.175        -365.586         4.441
4400.00      312.632          37.371         151.327        -616.203        -359.771         4.271
4500.00      313.472          37.373         155.064        -616.219        -353.957         4.109
4600.00      314.294          37.375         158.801        -616.226        -348.106         3.953
4700.00      315.098          37.377         162.539        -616.223        -342.302         3.804
4800.00      315.885          37.378         166.277        -616.211        -336.460         3.661
4900.00      316.655          37.380         170.014        -616.191        -330.627         3.524
5000.00      317.410          37.381         173.753        -616.165        -324.808         3.393
5100.00      318.151          37.383         177.491        -616.135        -318.963         3.267
5200.00      318.877          37.384         181.229        -616.101        -313.131         3.145
5300.00      319.589          37.385         184.968        -616.065        -307.324         3.029
5400.00      320.288          37.386         188.706        -616.028        -301.486         2.916
5500.00      320.974          37.387         192.445        -615.991        -295.677         2.808
5600.00      321.647          37.388         196.184        -615.957        -289.838         2.703
5700.00      322.309          37.389         199.922        -615.927        -284.039         2.603
5800.00      322.959          37.390         203.661        -615.900        -278.212         2.506
5900.00      323.598          37.391         207.400        -615.880        -272.367         2.411
6000.00      324.227          37.392         211.139        -615.848        -266.543         2.320
