 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000         242.172         242.172           -Inf
 100.00      156.036          29.101           2.910         243.100         233.231       -121.826
 200.00      176.208          29.110           5.820         242.861         223.389        -58.343
 298.15      187.854          29.294           8.684         242.084         213.986        -37.489
 300.00      188.035          29.301           8.738         242.066         213.812        -37.228
 400.00      196.538          29.906          11.695         241.062         204.542        -26.710
 500.00      203.304          30.794          14.729         240.002         195.534        -20.427
 600.00      209.002          31.735          17.855         238.928         186.741        -16.257
 700.00      213.960          32.595          21.073         237.829         178.130        -13.292
 800.00      218.362          33.331          24.370         236.670         169.679        -11.079
 900.00      222.324          33.942          27.735         235.407         161.381         -9.366
1000.00      225.927          34.444          31.155         223.409         153.990         -8.043
1100.00      229.230          34.855          34.621         222.180         147.107         -6.985
1200.00      232.277          35.193          38.123         220.968         140.337         -6.109
1300.00      235.106          35.472          41.657         219.767         133.665         -5.371
1400.00      237.743          35.705          45.216         218.569         127.088         -4.742
1500.00      240.214          35.900          48.797         217.371         120.594         -4.199
1600.00      242.536          36.065          52.395         216.168         114.183         -3.728
1700.00      244.727          36.205          56.009         214.960         107.843         -3.314
1800.00      246.800          36.325          59.636         213.744         101.577         -2.948
1900.00      248.766          36.428          63.273         212.520          95.380         -2.622
2000.00      250.637          36.518          66.921         211.288          89.248         -2.331
2100.00      252.421          36.597          70.577         210.046          83.176         -2.069
2200.00      254.125          36.665          74.240         208.795          77.164         -1.832
2300.00      255.756          36.726          77.910         207.534          71.209         -1.617
2400.00      257.320          36.779          81.585         206.264          65.294         -1.421
2500.00      258.823          36.827          85.265         204.984          59.455         -1.242
2600.00      260.268          36.870          88.950         203.695          53.646         -1.078
2700.00      261.660          36.908          92.639         202.397          47.904         -0.927
2800.00      263.003          36.942          96.332         -92.811          43.189         -0.806
2900.00      264.300          36.973         100.027         -93.033          48.049         -0.865
3000.00      265.554          37.001         103.726         -93.261          52.903         -0.921
3100.00      266.768          37.027         107.428         -93.499          57.773         -0.973
3200.00      267.944          37.050         111.131         -93.748          62.653         -1.023
3300.00      269.084          37.071         114.837         -94.004          67.545         -1.069
3400.00      270.191          37.091         118.546         -94.268          72.476         -1.113
3500.00      271.266          37.109         122.256         -94.543          77.374         -1.155
3600.00      272.312          37.125         125.967         -94.827          82.298         -1.194
3700.00      273.329          37.140         129.681         -95.119          87.222         -1.231
3800.00      274.320          37.154         133.395         -95.423          92.128         -1.266
3900.00      275.285          37.167         137.111         -95.735          97.061         -1.300
4000.00      276.226          37.179         140.829         -96.057         102.015         -1.332
4100.00      277.145          37.190         144.547         -96.392         106.980         -1.363
4200.00      278.041          37.201         148.267         -96.736         111.926         -1.392
4300.00      278.916          37.211         151.987         -97.093         116.926         -1.420
4400.00      279.772          37.220         155.709         -97.461         121.892         -1.447
4500.00      280.609          37.228         159.431         -97.840         126.867         -1.473
4600.00      281.427          37.236         163.154         -98.233         131.893         -1.498
4700.00      282.228          37.243         166.878         -98.641         136.873         -1.521
4800.00      283.012          37.250         170.603         -99.062         141.903         -1.544
4900.00      283.780          37.257         174.329         -99.496         146.932         -1.566
5000.00      284.533          37.263         178.055         -99.947         151.955         -1.587
5100.00      285.271          37.269         181.781        -100.415         157.020         -1.608
5200.00      285.995          37.275         185.508        -100.899         162.076         -1.628
5300.00      286.705          37.280         189.236        -101.400         167.119         -1.647
5400.00      287.402          37.285         192.964        -101.920         172.203         -1.666
5500.00      288.086          37.289         196.693        -102.458         177.269         -1.684
5600.00      288.758          37.294         200.422        -103.016         182.371         -1.701
5700.00      289.418          37.298         204.152        -103.594         187.451         -1.718
5800.00      290.066          37.302         207.882        -104.191         192.569         -1.734
5900.00      290.704          37.306         211.612        -104.811         197.714         -1.750
6000.00      291.331          37.309         215.343        -105.433         202.850         -1.766
