 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000         -68.315         -68.315           Inf
 100.00      197.913          37.537           3.182         -68.520         -70.282        36.711
 200.00      226.400          44.684           7.332         -69.083         -71.837        18.762
 298.15      245.222          49.741          11.975         -69.562         -73.080        12.803
 300.00      245.530          49.824          12.067         -69.569         -73.102        12.728
 400.00      260.409          53.555          17.248         -69.867         -74.230         9.693
 500.00      272.644          56.022          22.736         -70.071         -75.296         7.866
 600.00      283.011          57.647          28.425         -70.277         -76.322         6.644
 700.00      291.985          58.745          34.248         -70.557         -77.310         5.769
 800.00      299.883          59.511          40.163         -70.958         -78.248         5.109
 900.00      306.926          60.064          46.143         -71.525         -79.127         4.592
1000.00      313.276          60.473          52.171         -82.875         -79.173         4.136
1100.00      319.055          60.783          58.234         -83.496         -78.774         3.741
1200.00      324.355          61.024          64.325         -84.129         -78.316         3.409
1300.00      329.247          61.214          70.437         -84.775         -77.806         3.126
1400.00      333.789          61.366          76.567         -85.433         -77.243         2.882
1500.00      338.027          61.491          82.710         -86.107         -76.636         2.669
1600.00      341.999          61.593          88.864         -86.795         -75.982         2.481
1700.00      345.736          61.679          95.028         -87.498         -75.287         2.313
1800.00      349.263          61.751         101.199         -88.218         -74.547         2.163
1900.00      352.604          61.812         107.378         -88.954         -73.767         2.028
2000.00      355.776          61.864         113.561         -89.708         -72.948         1.905
2100.00      358.795          61.910         119.750         -90.480         -72.090         1.793
2200.00      361.676          61.949         125.943         -91.270         -71.197         1.690
2300.00      364.431          61.983         132.140         -92.079         -70.268         1.596
2400.00      367.069          62.014         138.340         -92.907         -69.315         1.509
2500.00      369.601          62.040         144.542         -93.755         -68.308         1.427
2600.00      372.035          62.064         150.748         -94.620         -67.284         1.352
2700.00      374.378          62.085         156.955         -95.505         -66.213         1.281
2800.00      376.636          62.104         163.165        -390.309         -64.129         1.196
2900.00      378.816          62.121         169.376        -390.135         -52.482         0.945
3000.00      380.922          62.137         175.589        -389.978         -40.856         0.711
3100.00      382.960          62.151         181.803        -389.840         -29.229         0.493
3200.00      384.933          62.164         188.019        -389.719         -17.601         0.287
3300.00      386.846          62.175         194.236        -389.613          -5.972         0.095
3400.00      388.703          62.186         200.454        -389.524           5.678        -0.087
3500.00      390.505          62.195         206.673        -389.450          17.292        -0.258
3600.00      392.257          62.204         212.893        -389.393          28.923        -0.420
3700.00      393.962          62.212         219.114        -389.350          40.538        -0.572
3800.00      395.621          62.220         225.336        -389.321          52.136        -0.717
3900.00      397.237          62.227         231.558        -389.308          63.747        -0.854
4000.00      398.813          62.233         237.781        -389.310          75.366        -0.984
4100.00      400.350          62.239         244.005        -389.327          86.995        -1.108
4200.00      401.850          62.245         250.229        -389.359          98.593        -1.226
4300.00      403.314          62.250         256.454        -389.405         110.242        -1.339
4400.00      404.746          62.255         262.679        -389.468         121.843        -1.446
4500.00      406.145          62.260         268.905        -389.545         133.449        -1.549
4600.00      407.513          62.264         275.131        -389.641         145.104        -1.648
4700.00      408.852          62.268         281.357        -389.755         156.705        -1.742
4800.00      410.163          62.272         287.584        -389.887         168.343        -1.832
4900.00      411.447          62.275         293.812        -390.037         179.980        -1.919
5000.00      412.705          62.278         300.039        -390.211         191.604        -2.002
5100.00      413.939          62.281         306.267        -390.405         203.266        -2.082
5200.00      415.148          62.284         312.496        -390.623         214.912        -2.159
5300.00      416.334          62.287         318.724        -390.868         226.545        -2.233
5400.00      417.499          62.290         324.953        -391.140         238.203        -2.304
5500.00      418.642          62.292         331.182        -391.440         249.843        -2.373
5600.00      419.764          62.295         337.412        -391.770         261.526        -2.439
5700.00      420.867          62.297         343.641        -392.135         273.169        -2.503
5800.00      421.950          62.299         349.871        -392.532         284.850        -2.565
5900.00      423.015          62.301         356.101        -392.967         296.554        -2.625
6000.00      424.062          62.303         362.331        -393.421         308.249        -2.684
