 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000        -189.787        -189.787           Inf
 100.00      191.447          39.643           3.621        -189.601        -194.345       101.514
 200.00      219.647          41.815           7.701        -190.125        -198.936        51.956
 298.15      236.733          43.890          11.908        -190.993        -203.082        35.579
 300.00      237.005          43.927          11.989        -191.011        -203.157        35.372
 400.00      249.889          45.632          16.472        -191.974        -207.061        27.039
 500.00      260.206          46.811          21.098        -192.972        -210.717        22.013
 600.00      268.818          47.637          25.822        -194.028        -214.169        18.645
 700.00      276.211          48.275          30.619        -195.175        -217.438        16.225
 800.00      282.694          48.830          35.475        -196.444        -220.532        14.399
 900.00      288.476          49.355          40.384        -197.866        -223.459        12.969
1000.00      293.702          49.872          45.345        -210.054        -225.459        11.777
1100.00      298.480          50.384          50.358        -211.490        -226.931        10.776
1200.00      302.885          50.887          55.422        -212.914        -228.270         9.936
1300.00      306.978          51.373          60.535        -214.328        -229.493         9.221
1400.00      310.802          51.837          65.696        -215.731        -230.605         8.604
1500.00      314.394          52.276          70.902        -217.125        -231.621         8.066
1600.00      317.781          52.688          76.150        -218.511        -232.541         7.592
1700.00      320.987          53.070          81.438        -219.891        -233.379         7.171
1800.00      324.030          53.424          86.763        -221.266        -234.131         6.794
1900.00      326.928          53.751          92.122        -222.638        -234.809         6.455
2000.00      329.692          54.051          97.513        -224.008        -235.410         6.148
2100.00      332.336          54.327         102.932        -225.380        -235.948         5.869
2200.00      334.870          54.580         108.377        -226.754        -236.421         5.613
2300.00      337.301          54.813         113.847        -228.130        -236.830         5.379
2400.00      339.638          55.026         119.339        -229.510        -237.192         5.162
2500.00      341.889          55.222         124.852        -230.894        -237.476         4.962
2600.00      344.058          55.402         130.383        -232.285        -237.723         4.776
2700.00      346.152          55.567         135.931        -233.683        -237.903         4.602
2800.00      348.176          55.719         141.496        -528.987        -237.051         4.422
2900.00      350.133          55.860         147.075        -529.304        -226.616         4.082
3000.00      352.029          55.990         152.667        -529.628        -216.189         3.764
3100.00      353.867          56.110         158.272        -529.961        -205.743         3.467
3200.00      355.650          56.220         163.889        -530.303        -195.281         3.188
3300.00      357.382          56.323         169.516        -530.653        -184.807         2.925
3400.00      359.065          56.419         175.153        -531.013        -174.292         2.678
3500.00      360.702          56.507         180.800        -531.382        -163.807         2.445
3600.00      362.295          56.590         186.455        -531.763        -153.290         2.224
3700.00      363.846          56.667         192.118        -532.153        -142.770         2.016
3800.00      365.358          56.738         197.788        -532.554        -132.264         1.818
3900.00      366.833          56.805         203.465        -532.967        -121.733         1.630
4000.00      368.272          56.868         209.149        -533.391        -111.179         1.452
4100.00      369.677          56.927         214.839        -533.828        -100.606         1.282
4200.00      371.049          56.982         220.534        -534.278         -90.052         1.120
4300.00      372.391          57.033         226.235        -534.740         -79.446         0.965
4400.00      373.703          57.082         231.941        -535.217         -68.868         0.818
4500.00      374.986          57.127         237.651        -535.707         -58.275         0.676
4600.00      376.242          57.170         243.366        -536.214         -47.632         0.541
4700.00      377.472          57.211         249.085        -536.738         -37.032         0.412
4800.00      378.677          57.249         254.808        -537.278         -26.383         0.287
4900.00      379.858          57.285         260.535        -537.835         -15.730         0.168
5000.00      381.015          57.319         266.265        -538.413          -5.075         0.053
5100.00      382.151          57.351         271.998        -539.010           5.619        -0.058
5200.00      383.265          57.382         277.735        -539.628          16.306        -0.164
5300.00      384.358          57.411         283.475        -540.269          26.987        -0.266
5400.00      385.431          57.438         289.217        -540.935          37.710        -0.365
5500.00      386.485          57.465         294.962        -541.623          48.417        -0.460
5600.00      387.521          57.489         300.710        -542.338          59.164        -0.552
5700.00      388.539          57.513         306.460        -543.080          69.886        -0.640
5800.00      389.539          57.536         312.213        -543.848          80.652        -0.726
5900.00      390.523          57.557         317.967        -544.648          91.448        -0.810
6000.00      391.491          57.577         323.724        -545.458         102.236        -0.890
