 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000          76.120          76.120          -Inf
 100.00      186.264          29.103           2.910          77.095          67.833       -35.432
 200.00      206.509          29.539           5.833          76.760          58.636       -15.314
 298.15      218.550          30.967           8.798          76.037          49.889        -8.740
 300.00      218.742          30.998           8.855          76.022          49.727        -8.658
 400.00      227.879          32.557          12.035          75.209          41.084        -5.365
 500.00      235.281          33.766          15.354          74.365          32.649        -3.411
 600.00      241.518          34.630          18.776          73.472          24.388        -2.123
 700.00      246.905          35.243          22.272          72.493          16.283        -1.215
 800.00      251.642          35.685          25.819          71.392           8.327        -0.544
 900.00      255.864          36.009          29.405          70.134           0.518        -0.030
1000.00      259.671          36.253          33.019          58.101          -6.381         0.333
1100.00      263.136          36.440          36.654          56.806         -12.767         0.606
1200.00      266.313          36.586          40.305          55.508         -19.035         0.829
1300.00      269.246          36.702          43.970          54.206         -25.194         1.012
1400.00      271.970          36.796          47.645          52.900         -31.253         1.166
1500.00      274.511          36.873          51.328          51.587         -37.219         1.296
1600.00      276.893          36.936          55.019          50.269         -43.095         1.407
1700.00      279.134          36.989          58.715          48.944         -48.892         1.502
1800.00      281.249          37.034          62.417          47.613         -54.607         1.585
1900.00      283.253          37.072          66.122          46.273         -60.251         1.656
2000.00      285.155          37.105          69.831          44.926         -65.820         1.719
2100.00      286.966          37.133          73.543          43.570         -71.324         1.774
2200.00      288.694          37.157          77.257          42.205         -76.764         1.823
2300.00      290.346          37.179          80.974          40.831         -82.142         1.865
2400.00      291.929          37.198          84.693          39.449         -87.474         1.904
2500.00      293.448          37.215          88.414          38.057         -92.725         1.937
2600.00      294.908          37.230          92.136          36.656         -97.942         1.968
2700.00      296.313          37.243          95.859          35.246        -103.087         1.994
2800.00      297.668          37.255          99.584        -260.074        -107.204         2.000
2900.00      298.975          37.266         103.310        -260.407        -101.736         1.832
3000.00      300.239          37.275         107.037        -260.747         -96.275         1.676
3100.00      301.461          37.284         110.765        -261.097         -90.792         1.530
3200.00      302.645          37.292         114.494        -261.456         -85.296         1.392
3300.00      303.793          37.299         118.224        -261.822         -79.785         1.263
3400.00      304.906          37.306         121.954        -262.197         -74.233         1.140
3500.00      305.988          37.312         125.685        -262.579         -68.712         1.025
3600.00      307.039          37.318         129.416        -262.971         -63.157         0.916
3700.00      308.061          37.323         133.149        -263.369         -57.601         0.813
3800.00      309.057          37.328         136.881        -263.776         -52.059         0.716
3900.00      310.027          37.332         140.614        -264.191         -46.491         0.623
4000.00      310.972          37.336         144.347        -264.615         -40.899         0.534
4100.00      311.894          37.340         148.081        -265.048         -35.288         0.450
4200.00      312.794          37.343         151.815        -265.489         -29.699         0.369
4300.00      313.672          37.347         155.550        -265.939         -24.049         0.292
4400.00      314.531          37.350         159.285        -266.399         -18.434         0.219
4500.00      315.370          37.353         163.020        -266.868         -12.807         0.149
4600.00      316.191          37.355         166.755        -267.349          -7.127         0.081
4700.00      316.995          37.358         170.491        -267.842          -1.493         0.017
4800.00      317.781          37.360         174.227        -268.348           4.194        -0.046
4900.00      318.552          37.362         177.963        -268.866           9.878        -0.105
5000.00      319.306          37.364         181.699        -269.400          15.565        -0.163
5100.00      320.046          37.366         185.436        -269.948          21.295        -0.218
5200.00      320.772          37.368         189.173        -270.514          27.012        -0.271
5300.00      321.484          37.370         192.910        -271.099          32.721        -0.322
5400.00      322.182          37.372         196.647        -271.703          38.473        -0.372
5500.00      322.868          37.373         200.384        -272.328          44.205        -0.420
5600.00      323.542          37.375         204.121        -272.976          49.976        -0.466
5700.00      324.203          37.376         207.859        -273.647          55.730        -0.511
5800.00      324.853          37.377         211.596        -274.343          61.518        -0.554
5900.00      325.492          37.379         215.334        -275.067          67.337        -0.596
6000.00      326.120          37.380         219.072        -275.799          73.152        -0.637
