 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000        -701.968        -701.968           Inf
 100.00      248.222          41.920           3.589        -703.484        -701.228       366.279
 200.00      282.268          58.253           8.595        -705.825        -698.071       182.315
 298.15      308.252          72.181          15.028        -707.721        -693.838       121.556
 300.00      308.699          72.404          15.161        -707.751        -693.752       120.792
 400.00      330.993          82.422          22.935        -709.064        -688.873        89.957
 500.00      350.160          89.172          31.537        -709.960        -683.715        71.426
 600.00      366.849          93.754          40.698        -710.650        -678.399        59.059
 700.00      381.554          96.937          50.241        -711.286        -672.975        50.217
 800.00      394.655          99.209          60.055        -711.965        -667.454        43.580
 900.00      406.441         100.873          70.063        -712.769        -661.844        38.412
1000.00      417.137         102.122          80.216        -724.336        -655.377        34.233
1100.00      426.917         103.080          90.478        -725.168        -648.441        30.792
1200.00      435.920         103.829         100.825        -726.019        -641.428        27.920
1300.00      444.255         104.425         111.239        -726.894        -634.343        25.488
1400.00      452.012         104.905         121.706        -727.805        -627.189        23.400
1500.00      459.263         105.298         132.217        -728.756        -619.971        21.589
1600.00      466.070         105.624         142.763        -729.751        -612.687        20.002
1700.00      472.481         105.896         153.340        -780.972        -604.891        18.586
1800.00      478.541         106.126         163.941        -781.840        -594.510        17.252
1900.00      484.284         106.321         174.564        -782.721        -584.078        16.057
2000.00      489.742         106.490         185.205        -783.618        -573.598        14.981
2100.00      494.942         106.635         195.861        -784.535        -563.076        14.006
2200.00      499.905         106.761         206.531        -785.472        -552.507        13.118
2300.00      504.653         106.872         217.213        -786.431        -541.899        12.307
2400.00      509.204         106.970         227.905        -787.413        -531.259        11.562
2500.00      513.572         107.056         238.606        -788.419        -520.559        10.876
2600.00      517.773         107.133         249.316        -789.447        -509.834        10.243
2700.00      521.817         107.201         260.033        -790.501        -499.056         9.655
2800.00      525.717         107.263         270.756       -1085.481        -487.262         9.090
2900.00      529.482         107.318         281.485       -1085.486        -465.895         8.392
3000.00      533.121         107.368         292.219       -1085.517        -444.546         7.740
3100.00      536.643         107.413         302.958       -1085.571        -423.187         7.131
3200.00      540.053         107.454         313.702       -1085.649        -401.818         6.559
3300.00      543.361         107.492         324.449       -1085.748        -380.447         6.022
3400.00      546.570         107.526         335.200       -1085.869        -359.046         5.516
3500.00      549.687         107.558         345.954       -1086.012        -337.675         5.039
3600.00      552.718         107.586         356.712       -1470.328        -305.825         4.437
3700.00      555.666         107.613         367.471       -1470.100        -273.483         3.861
3800.00      558.536         107.637         378.234       -1469.891        -241.161         3.315
3900.00      561.332         107.660         388.999       -1469.705        -208.837         2.797
4000.00      564.058         107.681         399.766       -1469.541        -176.505         2.305
4100.00      566.717         107.701         410.535       -1469.397        -144.166         1.837
4200.00      569.313         107.719         421.306       -1469.274        -111.869         1.391
4300.00      571.848         107.736         432.079       -1469.169         -79.523         0.966
4400.00      574.325         107.751         442.853       -1469.088         -47.222         0.561
4500.00      576.747         107.766         453.629       -1469.025         -14.927         0.173
4600.00      579.115         107.780         464.406       -1468.987          17.421        -0.198
4700.00      581.433         107.793         475.185       -1468.969          49.709        -0.552
4800.00      583.703         107.805         485.965       -1468.976          82.026        -0.893
4900.00      585.926         107.816         496.746       -1469.006         114.343        -1.219
5000.00      588.104         107.827         507.528       -1469.066         146.649        -1.532
5100.00      590.239         107.837         518.311       -1469.151         178.993        -1.833
5200.00      592.334         107.847         529.096       -1469.265         211.310        -2.123
5300.00      594.388         107.856         539.881       -1469.413         243.613        -2.401
5400.00      596.404         107.864         550.667       -1469.597         275.948        -2.669
5500.00      598.383         107.872         561.454       -1469.814         308.257        -2.928
5600.00      600.327         107.880         572.241       -1470.071         340.605        -3.177
5700.00      602.237         107.887         583.029       -1470.371         372.915        -3.417
5800.00      604.113         107.894         593.819       -1470.712         405.264        -3.650
5900.00      605.957         107.900         604.608       -1471.102         437.633        -3.874
6000.00      607.771         107.907         615.399       -1471.521         469.992        -4.092
