 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000        -372.361        -372.361           Inf
 100.00      210.016          41.659           3.584        -373.664        -371.600       194.101
 200.00      242.041          51.052           8.258        -375.050        -368.991        96.369
 298.15      263.678          57.426          13.598        -376.219        -365.759        64.079
 300.00      264.034          57.528          13.705        -376.237        -365.693        63.672
 400.00      281.258          62.167          19.703        -377.171        -362.031        47.276
 500.00      295.500          65.406          26.091        -377.937        -358.156        37.416
 600.00      307.638          67.692          32.752        -378.635        -354.134        30.830
 700.00      318.206          69.377          39.610        -379.349        -349.995        26.117
 800.00      327.559          70.696          46.616        -380.136        -345.747        22.575
 900.00      335.951          71.792          53.742        -381.044        -341.396        19.814
1000.00      343.565          72.742          60.969        -392.697        -336.176        17.560
1100.00      350.538          73.589          68.287        -393.582        -330.480        15.693
1200.00      356.975          74.354          75.684        -394.448        -324.706        14.134
1300.00      362.954          75.051          83.155        -395.296        -318.859        12.812
1400.00      368.540          75.685          90.692        -396.129        -312.947        11.676
1500.00      373.781          76.263          98.290        -396.952        -306.977        10.690
1600.00      378.720          76.789         105.943        -397.766        -300.952         9.825
1700.00      383.390          77.267         113.646        -398.577        -294.879         9.060
1800.00      387.819          77.702         121.395        -399.386        -288.755         8.379
1900.00      392.031          78.097         129.185        -400.197        -282.586         7.769
2000.00      396.046          78.456         137.013        -401.011        -276.373         7.218
2100.00      399.882          78.782         144.876        -401.832        -270.121         6.719
2200.00      403.554          79.080         152.769        -402.662        -263.831         6.264
2300.00      407.075          79.350         160.691        -403.501        -257.502         5.848
2400.00      410.458          79.597         168.638        -404.353        -251.153         5.466
2500.00      413.712          79.822         176.609        -405.217        -244.743         5.114
2600.00      416.846          80.028         184.602        -406.094        -238.316         4.788
2700.00      419.870          80.217         192.614        -406.986        -231.844         4.485
2800.00      422.791          80.391         200.645        -701.793        -224.358         4.185
2900.00      425.615          80.550         208.692        -701.620        -207.310         3.734
3000.00      428.348          80.696         216.754        -701.463        -190.282         3.313
3100.00      430.996          80.831         224.831        -701.322        -173.251         2.919
3200.00      433.564          80.956         232.920        -701.199        -156.221         2.550
3300.00      436.057          81.072         241.022        -701.090        -139.191         2.203
3400.00      438.479          81.178         249.134        -700.999        -122.137         1.876
3500.00      440.834          81.277         257.257        -700.923        -105.125         1.569
3600.00      443.125          81.370         265.390        -700.866         -88.094         1.278
3700.00      445.355          81.455         273.531        -700.825         -71.072         1.003
3800.00      447.529          81.535         281.680        -700.801         -54.078         0.743
3900.00      449.648          81.610         289.838        -700.794         -37.065         0.496
4000.00      451.715          81.679         298.002        -700.806         -20.042         0.262
4100.00      453.732          81.744         306.173        -700.836          -3.008         0.038
4200.00      455.703          81.805         314.351        -700.884          13.992        -0.174
4300.00      457.629          81.862         322.534        -700.951          31.038        -0.377
4400.00      459.511          81.916         330.723        -701.037          48.049        -0.570
4500.00      461.353          81.966         338.917        -701.143          65.059        -0.755
4600.00      463.155          82.014         347.116        -701.271          82.116        -0.932
4700.00      464.919          82.059         355.320        -701.421          99.123        -1.102
4800.00      466.647          82.101         363.528        -701.593         116.168        -1.264
4900.00      468.340          82.141         371.740        -701.789         133.212        -1.420
5000.00      470.000          82.178         379.956        -702.012         150.246        -1.570
5100.00      471.628          82.214         388.176        -702.259         167.319        -1.714
5200.00      473.225          82.248         396.399        -702.535         184.371        -1.852
5300.00      474.792          82.279         404.625        -702.842         201.412        -1.985
5400.00      476.330          82.310         412.855        -703.179         218.490        -2.113
5500.00      477.840          82.338         421.087        -703.547         235.547        -2.237
5600.00      479.324          82.366         429.322        -703.950         252.642        -2.357
5700.00      480.782          82.392         437.560        -704.389         269.704        -2.472
5800.00      482.216          82.416         445.801        -704.863         286.794        -2.583
5900.00      483.625          82.440         454.044        -705.378         303.920        -2.691
6000.00      485.010          82.462         462.289        -705.913         321.038        -2.795
